# XDI/1.0 Hephaestus/0.9.26
# Element.edge:                  K
# Element.symbol:                Cu
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Column.9:                      chi(e)
# Athena.e0:                     8977.97
# Athena.eshift:                 0
# Athena.rbkg:                   1
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              1.5112261
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.168335 - 0.000381749 * E
# Athena.normalization_range:    100.000 1000.000
# Athena.post_edge_polynomial:   31.859671 - 0.00560643 * E + 2.57144883e-007 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1234.435
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 18.000
# Athena.kweight:                1
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 17.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0        chie
  8996.7920        2.1203192        2.1328550       0.73381605        2.2337007      -0.46053664E-02   0.28710767E-01    293483.00      -0.82951383E-02
  8997.2710        2.1229197        2.1341258       0.73363319        2.2332316       0.11730129E-01   0.33726739E-01    293420.00      -0.74152482E-02
  8997.7510        2.1315684        2.1353651       0.73344995        2.2327616       0.27738576E-01   0.36260684E-01    293415.00      -0.25123528E-02
  8998.2300        2.1495210        2.1365807       0.73326709        2.2322928       0.46504125E-01   0.43019822E-01    293350.00       0.85627921E-02
  8998.7100        2.1761658        2.1377777       0.73308385        2.2318230       0.68994586E-01   0.17364736E-01    293252.00       0.25401999E-01
  8999.1890        2.2156868        2.1389513       0.73290100        2.2313544       0.63156907E-01  -0.20023375E-01    293339.00       0.50776964E-01
  8999.6690        2.2367333        2.1401066       0.73271776        2.2308849       0.49792169E-01  -0.97838097E-02    293352.00       0.63939258E-01
  9000.1480        2.2634375        2.1412390       0.73253490        2.2304165       0.53774233E-01  -0.77476995E-02    293608.00       0.80860498E-01
  9000.6280        2.2883028        2.1423532       0.73235166        2.2299473       0.42362125E-01  -0.37472251E-01    293922.00       0.96576924E-01
  9001.1070        2.3040628        2.1434449       0.73216880        2.2294791       0.17838344E-01  -0.55205553E-01    293924.00       0.10628314
  9001.5870        2.3054098        2.1445187       0.73198556        2.2290101      -0.10580000E-01  -0.42344647E-01    293899.00       0.10646393
  9002.1540        2.2929855        2.1457613       0.73176911        2.2284562      -0.26496502E-01  -0.27132688E-01    293806.00       0.97420333E-01
  9002.5910        2.2788073        2.1467002       0.73160228        2.2280294      -0.37821218E-01  -0.16027942E-01    293732.00       0.87417167E-01
  9003.0700        2.2583413        2.1477105       0.73141943        2.2275617      -0.41178097E-01  -0.52980996E-02    293608.00       0.73205958E-01
  9003.5500        2.2393175        2.1487034       0.73123619        2.2270932      -0.42902096E-01  -0.11540517E-01    293576.00       0.59960635E-01
  9004.0300        2.2171552        2.1496769       0.73105295        2.2266248      -0.52256993E-01  -0.53768638E-02    293513.00       0.44651363E-01
  9004.5100        2.1891508        2.1506312       0.73086971        2.2261565      -0.48063885E-01   0.15746634E-01    293469.00       0.25488933E-01
  9004.9900        2.1710139        2.1515665       0.73068647        2.2256883      -0.37140224E-01   0.12993856E-01    293367.00       0.12868663E-01
  9005.4710        2.1534590        2.1524846       0.73050285        2.2252193      -0.35576790E-01   0.57067251E-02    293267.00       0.64476117E-03
  9005.9500        2.1368602        2.1533803       0.73031999        2.2247523      -0.31661767E-01   0.85509239E-02    293201.00      -0.10931578E-01
